Lietas ID (caseID),Tiesas ID (courtID),Tiesa,Dzimšanas datums,Ienākšanas kārtība,Ienākšanas datums,Izskatīšanas datums,Būtība,Prasījuma apmērs,atb_fiz,atb_jur,pras_fiz,pras_jur,Nozīmētās sēdes,Notikušās sēdes,naudaS_sods,dzivo_arzemes,atbr_no_nodevas
2085244,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,030169,Pirmo reizi,10/25/2017,11/30/2017,parāda piedziņa,2679.15,1,0,1,0,0,0,0,0,0
2085596,30,Valmieras rajona tiesa,210770,Pirmo reizi,10/26/2017,12/22/2017,Maza apmēra prasība par naudas piedziņu,616.16,1,0,0,1,0,0,0,0,0
2085723,31,Ventspils tiesa,050174,Pirmo reizi,10/26/2017,12/21/2017,maza apmēra prasība par naudas piedziņu,1764.82,1,0,0,1,0,0,0,0,0
2085725,31,Ventspils tiesa,170173,Pirmo reizi,10/26/2017,12/14/2017,maza apmēra prasība par naudas piedziņu,1826.24,1,0,0,1,0,0,0,0,0
2085731,31,Ventspils tiesa,170173,Pirmo reizi,10/26/2017,12/19/2017,maza apmēra prasība par naudas piedziņu,1495.17,2,0,0,1,0,0,0,0,0
2085732,31,Ventspils tiesa,170173,Pirmo reizi,10/26/2017,12/18/2017,maza apmēra prasība par naudas piedziņu,1833.78,1,0,0,1,0,0,0,0,0
2085734,31,Ventspils tiesa,050174,Pirmo reizi,10/26/2017,12/21/2017,maza apmēra prasība par naudas piedziņu,1408.72,1,0,0,1,0,0,0,0,0
2085815,31,Ventspils tiesa,170173,Pirmo reizi,10/26/2017,12/18/2017,maza apmēra prasība par naudas piedziņu,1838.59,1,0,0,1,0,0,0,0,0
2085978,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,271273,Pirmo reizi,10/26/2017,12/12/2017,maza apmēra prasība par naudas piedziņu,728.88,1,0,0,1,0,0,0,0,0
2086126,5,Cēsu rajona tiesa,090763,Pirmo reizi,10/27/2017,12/8/2017,maza apmēra prasība par naudas piedziņu,67.01,1,0,0,1,0,0,0,0,0
2086504,30,Valmieras rajona tiesa,210770,Pirmo reizi,10/30/2017,12/22/2017,Maza apmēra prasība par naudas piedziņu.,551.34,1,0,0,1,0,0,0,0,0
2086505,30,Valmieras rajona tiesa,210770,Pirmo reizi,10/30/2017,12/22/2017,Maza apmēra prasība par naudas piedziņu.,841.67,1,0,0,1,0,0,0,0,0
2087321,31,Ventspils tiesa,050174,Pirmo reizi,10/31/2017,12/21/2017,maza apmēra prasība par naudas piedziņu,744.33,1,0,0,1,0,0,0,0,0
2087328,31,Ventspils tiesa,050174,Pirmo reizi,10/31/2017,12/18/2017,maza apmēra prasība par naudas piedziņu,2742.30,1,0,0,1,1,0,0,0,0
2087328,284,Kurzemes rajona tiesa,050174,Sakarā ar tiesu apvienošanu,1/31/2018,12/18/2017,maza apmēra prasība par naudas piedziņu,2742.30,1,0,0,1,0,0,0,0,0
2087594,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,100976,Pirmo reizi,11/1/2017,11/30/2017,par parāda piedziņu,14679.92,0,1,0,1,0,0,0,0,0
2087643,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,031272,Pirmo reizi,11/1/2017,12/29/2017,maza apmēra prasībā par naudas piedziņu,509.30,1,0,0,1,0,0,0,0,0
2087746,27,Liepājas tiesa,280767,Pirmo reizi,11/1/2017,12/14/2017,īpašuma apsaimniekošanas parāda piedziņa,350.32,0,1,0,1,0,0,0,0,0
2088176,27,Liepājas tiesa,241260,Pirmo reizi,11/2/2017,12/18/2017,parāda piedziņa,300.93,1,0,0,1,0,0,0,0,0
2088261,27,Liepājas tiesa,280767,Pirmo reizi,11/2/2017,12/21/2017,parāda piedziņa,345.60,1,0,0,1,0,0,0,0,0
2088326,27,Liepājas tiesa,241260,Pirmo reizi,11/2/2017,12/18/2017,parāda piedziņa,535.22,1,0,0,1,0,0,0,0,0
